Acarapis woodi,A. woodi,Acarapis,Tarsonemidae,Trombidiformes,Acarina,Arthropoda,Animal,Acariasis tracheal mite
Acarapis woodi,A. woodi,Acarapis,Tarsonemidae,Trombidiformes,Arachnida,Arthropoda,Animal,Tracheal mite
Acrogonia terminalis,A. terminalis,Acrogonia,Cicadellidae,Hemiptera,Insecta,Arthropoda,Animal,Sharpshooter
African horse sickness virus,Orbivirus,Reoviridae,Virus,African horse sickness
African swine fever virus,Asfivirus,Asfarviridae,Virus,African swine fever
Alcelaphine gammaherpesvirus 1,Macavirus,Herpesviridae,Herpesvirales,Virus,Malignant catarrhal fever,Alecelaphine herpes virus
Anaplasma,Ehrlichiaceae,Proteobacteria,Bacteria,Anaplasmiosis
Anastrepha fraterculus,A. fraterculus,Anastrepha,Tephritidae,Diptera,Insecta,Arthropoda,Animal,South American fruit fly
Anastrepha ludens,A. ludens,Anastrepha,Tephritidae,Diptera,Insecta,Arthropoda,Animal,Mexican fruit fly
Anastrepha suspensa,A. suspensa,Anastrepha,Tephritidae,Diptera,Insecta,Arthropoda,Animal,Caribbean fruit fly
Anatid alphaherpesvirus 1,Mardivirus,Herpesviridae,Herpesvirales,Virus,Duck viral enteritis,Duck plague,Anatid herpesvirus 1
Anoplophora chinensis,A. chinensis,Anoplophora,Cerambycidae,Coleoptera,Insecta,Arthropoda,Animal,Citrus longhorn beetle
Anoplophora glabripennis,A. glabripennis,Anoplophora,Cerambycidae,Coleoptera,Insecta,Arthropoda,Animal,Asian longhorn beetle
Anoplophora malasiaca,A. malasiaca,Anoplophora,Cerambycidae,Coleoptera,Insecta,Arthropoda,Animal,White-spotted longhorn beetle
Apis cerana,A. cerana,Apis,Apidae,Hymenoptera,Insecta,Arthropoda,Animal,Asian honey bee
Apis dorsata,A. dorsata,Apis,Apidae,Hymenoptera,Insecta,Arthropoda,Animal,Giant honey bee
Apis florea,A. florea,Apis,Apidae,Hymenoptera,Insecta,Arthropoda,Animal,Dwarf honey bee
Apis mellifera capensis,A. mellifera capensis,Apis,Apidae,Hymenoptera,Insecta,Arthropoda,Animal,Cape honey bee
Apis mellifera scutellata,A. mellifera scutellata,Apis,Apidae,Hymenoptera,Insecta,Arthropoda,Animal,African honey bee
Apis mellifera scutellata (hybrid),A. mellifera scutellata (hybrid),Apis,Apidae,Hymenoptera,Insecta,Arthropoda,Animal,Africanized honey bee
